Ticker,Trader Name,Relationship,Transaction Date,Cost,# Shares,Total Value,Shares Held,Filing Date
RTRX,REED ELIZABETH E,"SVP, GC & Corporate Secretary","Nov 13, 2020",$23.62,"2,500","59,046","27,931","Nov 13, 2020, 09:26 PM"
RTRX,ROTE WILLIAM E.,"Senior Vice President, R&D","Nov 13, 2020",$23.62,"2,500","59,056","26,586","Nov 13, 2020, 09:25 PM"
ONEM,Rubin Amir Dan,"Chair, CEO and President","Nov 11, 2020",$34.40,"235,000","8,082,905","252,177","Nov 13, 2020, 09:25 PM"
RTRX,Clague Laura,Chief Financial Officer,"Nov 13, 2020",$23.61,"7,500","177,071","26,973","Nov 13, 2020, 09:24 PM"
ISDR,BALBIRNIE BRIAN R,"Director, CEO","Nov 12, 2020",$23.50,"7,500","176,250","612,329","Nov 13, 2020, 09:06 PM"
PEN,Elsesser Adam,CEO and President,"Nov 11, 2020",$265.16,"8,000","2,121,260","973,382","Nov 13, 2020, 09:06 PM"
PEN,Bose Arani,Chief Innovator,"Nov 10, 2020",$255.43,"7,998","2,042,957","550,762","Nov 13, 2020, 09:03 PM"
RMD,Leong Justin,"President, Asia Latin America","Nov 05, 2020",$211.36,"7,740","1,635,926","25,386","Nov 13, 2020, 09:03 PM"
ADPT,VIKING GLOBAL INVESTORS LP,10% Owner,"Nov 11, 2020",$49.51,"2,500,000","123,787,498","30,993,708","Nov 13, 2020, 09:01 PM"
TFFP,Fairbairn Malcolm,Director,"Nov 12, 2020",$15.97,"11,669","186,307",0,"Nov 13, 2020, 09:01 PM"
TFFP,Fairbairn Malcolm,Director,"Nov 11, 2020",$15.93,"63,331","1,008,926","11,669","Nov 13, 2020, 09:01 PM"
TFFP,THURMAN RANDY H,Director,"Nov 13, 2020",$17.17,"5,000","85,865",0,"Nov 13, 2020, 09:01 PM"
TFFP,THURMAN RANDY H,Director,"Nov 11, 2020",$15.91,"34,504","548,890","5,000","Nov 13, 2020, 09:01 PM"
TFFP,ROCAMBOLI STEPHEN,Director,"Nov 11, 2020",$15.76,"15,722","247,732",0,"Nov 13, 2020, 09:00 PM"
TFFP,ROCAMBOLI STEPHEN,Director,"Nov 10, 2020",$15.14,"21,278","322,106",0,"Nov 13, 2020, 09:00 PM"
TFFP,COLEMAN KIRK ALLEN,"CFO, Secretary, and Treasurer","Nov 10, 2020",$15.12,"15,000","226,755","1,000","Nov 13, 2020, 09:00 PM"
